Person ID;Level;Current Potential;Code;Gender;Evaluation Statement;Evaluation Date;Evaluated by Code;Agreed By Code
00323504;5;D;CC/C;M;00035759 has joined the BASF 4.0 cluster digital business models in April 2016. He is responsible to work together with many business units to come up with disruptive business model ideas, test them in the marketplace using prototype techniques and launch MVPs (minimum viable products) according to the INNORATE methodology. He has a highly-developed eagerness to expose himself to a broad range of new topics and is always applying his previous learnings in new contexts. He has a very strong entrepreneurial drive and is always focusing on commercialization of ideas. 00035759 is the driving force behind all of his projects and defines high standards with regards to speed of implementation as well as to making the customer feedback paramount in decisions whether a project should be continued or stopped. 00035759 is highly respected in all projects that he handles by team members of different roles and levels in the organization. He is using the available resources in skills in a team well to get to the results he needs. 00035759 has been the focal point of BASF 4.0 Digital Business Model Projects for Asia Pacific and is working on several projects (e.g. for EM, PM, EC in China). 00035759 is capable of leading and directing complex teams but has not had the chance to demonstrate disciplinary leadership in his career at BASF. A complex leadership role where he is required to lead through others (e.g. teamleader structure) should be the next step in his development.;22.02.2019;G-FDB/B;G-FDB
00871491;5;E;APM/D;M;"• Is a hard-working manager with comprehensive know-how in the Ag business and outstanding expertise regarding strategy definition, sales, marketing and digitization • Reinvented himself several times in new positions and with new tasks • Radiates enthusiasm for new things; approaches new tasks with the intent to grow the business or increase its profitability and quickly identify the relevant potential • Integrates new technologies in his organization’s value chain both as support of business processes as well as a singular offering or as enhancements to existing solutions • Successfully works in virtual teams of individuals with diverse capabilities in order to come up with innovate concepts that often break with the tried and true • Pursues the implementation of promising innovation, even in difficult environments • Strives to make Digital Farming an integrated part of the new organization’s portfolio";12.09.2018;AP;
00572190;5;D;G-EVO/N;M;"00572190 is a result oriented, entrepreneurial and strategic thinker professional. During his time in Brazil he has led the Fuel & Lubricant team to grow market share in fuel additives in Brazil and Argentina while developing new customers and a new market approach for coolants and brake fluids. 00572190 reacted to feedback resulting in noticeable positive development of his personality. During the G-EVO change project SCORE he moved to the US taking over significant responsibility in the role of Director Formulations North America. He quickly connected to important customers e.g. in the transportation lubricants area. He is in the process of forming the team after the reorganization and needs to give individual support also by demonstrating own accountability especially to new team members developing them to their full potential based on trustful leadership. The open cooperation with all involved global stakeholders for the different business segments needs to be further strengthened. To successfully implement the investment project Brickroad for the new market entry Coolants North America an even stronger ""one team"" spirit with the relevant colleagues should be created.";06.05.2020;G-EVO;EV
00739813;5;D;GES/G;M;In 2017 and 2018 00739813 fulfilled 3 roles for the organization. In addition to his primary role PM North America Investment Leader, he was assigned the role of Project Operations Manager for the Sprint II Project, and then identified and volunteered to fulfill the role of Commissioning Manager for the Project. As Capital Manager for PM North America, 00739813 achieved several highlights in the past 3 years. He developed an OD best practice for maximizing value for the region based on the annual budget through development of a 5-year project portfolio prioritized by the Present Value Index (PVI) and Kenney Score. He also developed and implemented an OD best practice CAPEX spend and forecast system that incorporates monthly spend, forecast and project progress results resulting in an annual CAPEX spend within 5% of budget. During this time, 00739813 acquired $16.4M of additional capital from 2016 through a “100%” winning percentage when submitting projects to PM’s Large-CAPEX competition process. In addition, 00739813 has demonstrated leadership and collaboration as he worked closely with the R&D function to improve their CAPEX spending results. Often acts as Manufacturing Representative for projects in R&D. 00739813 developed a best practice for the development of a Commissioning plan for the Wyandotte site to ensure the safe, efficient and effective start-up of the assets. He also led two major project re-scoping activities resulting in changes to project objectives as directed by the OD. Quickly and effectively led two re-scoping efforts to meeting changing project scope and cost revisions. 00739813 has achieved these results by being customer-focused, actively listening to understand customer needs, then developing out-of-the box solutions that utilize resources efficiently and result in positive gains for BASF. He is proactive and acts without direction from leadership. He understands his audience and presents the information accordingly. 00739813 is now ready for a people leadership role, with a desire to remain in the operations function. He has successfully demonstrated the capability to lead project teams through influence and requires development and experience of leading people to expand his positive impact with BASF.;26.04.2019;N-PMN;PM
00234360;5;E;RCC/P;M;00234360 is an expert in oxidation catalysis and solid-state chemistry, who is recognized for his achievements in battery materials, automotive emission catalysts and process catalysts. During his delegation to the USA, he developed new concepts and materials for TWC (Three Way Conversion) catalysts. The outcome of this long-term oriented work is expected to ensure technology leadership for BASF in the LDG (Light Duty Gasoline) catalyst segment. Since his return to Ludwigshafen, he has taken over the project leadership for the development of new ethylene oxide (EO) catalysts, one of the most important projects within the R&D portfolio of CC. He was able to identify new innovative concepts for improving the performance of EO catalysts and successfully demonstrated the target performance in miniplant and pilot scale. His contributions are also paramount for the scale up and the commercial launch of this new generation of catalysts. 00234360 can quickly analyze complicated scientific problems and transform new academic results into R&D concepts for industrial applications. He is extremely hard working and accomplishes difficult tasks in a short time. He has very distinct opinions and views, which he is ready to fight for even against the resistance of others. He has successfully led cooperation projects with renowned external academic and industrial partners, where his technical expertise and guidance is highly valued. Working with his team and with his peers, 00234360 is expecting the same high level of work ethics as he is embracing by himself. His communication in high level meetings is sometimes perceived as a bit abrupt and technocratic, but always meant to be fact oriented. Further improving his language skills and polishing his communication style could help him to be even more effective in creating direct impact with his work.;31.03.2020;RCC/CCD;RC
00544465;5;D;E-CPI/O;M;Currently, 00544465 works as Process-Manager in the Steam-Cracker-Plants, Ludwigshafen. Unavailability or production standstill of the plant would result in a daily CM 1-loss of BASF of roughly MEUR 2 (based on data of 00705425-Verbundsimulator). This describes the expressed responsibility of 00544465. He takes personal responsibility for leading his projects to success, i.e. project-management for hydrogeneration-catalyst development, implementation of BASF 4.0-tools, process optimization by implementing advanced control and 4.0. Rather than only identifying shortcomings he uses his creativity and persistence to find a solution, i.e. installation of a new hydrogeneration catalyst that allows to extend the naphtha-quality to cheaper ranges. He is an excellent team-player – one that takes the lead and acts as a role model for others to follow. He prefers to present a working solution in practice rather than elaborating on paper or generating documents. He has been able to use this spirit to get things moving and further motivate his team of co-workers i.e. by implementing new training concepts beyond the static OPAL-system. This allowed to bring a number of young people faster than usual on board.;15.04.2019;E-CPB;CP
00486456;5;D;RB;M;00486456 is a driven and engaging Leader. In his current role as Global Project Manager for PUFA, his leadership was key to setting the project on the path to commercialization. He also plays an important role in shaping the vision and the path to success for the joint operational teams with our commercial partner and customer Cargill. Before he took over PUFA leadership, the project had just suffered a technical set-back and missed a key milestone. 00486456 took decisive ownership of the situation and led the project team to develop and implement an innovative, high risk resolution plan which relied on the deployment of a new technology under a very tight timeline. He enabled the tight collaboration of more than 150 colleagues globally which successfully led to the achievement of a major development milestones in just 18 months. That success was a critical step in advancing PUFA as a commercially viable project and creating a path to new business opportunities for BASF. As the project transitioned from a technical to pre-launch phase, 00486456 took on the challenge of building own and team expertise outside the technical realm. In this transition process, he has been developing ability to coach the team in an environment they are not attuned to continue to meet the project needs. Key to the continued project success was strengthening the customer's engagement throughout the constantly evolving process. To do this, 00486456 personally engaged key customer stakeholders by developing a deep understanding of the customers' values and communication styles in order to align with BASF objectives and support the project's strategic imperatives. Throughout this process, 00486456 has clearly developed strong ownership and decisiveness for the project, implemented creative solutions through strong team collaboration to meet customer and BASF commercial needs. Recently 00486456 has taken a new role as Project Manager of R&D Regional Strategic project and is responsible to drive a business proposal of the future R&D landscape in the Region with a long-term strategic impact. In this role he will have the opportunity to interact with several key stakeholders, expand his network and become a more assertive leader. 00486456's calm demeanor does not let him appear as someone with immediate impact. He is aware of this and is working on the first impression that this could leave.;08.11.2018;RB;
00532462;5;D;G-CCE;M;00532462 started in the controlling department of the new production site in Sroda Slaska (Poland) for CCE. After 3 years, he took responsibility as the deputy site manager and the head of the process engineering organization. 00532462 turned the process engineering team into a highly effective organization and was able to solve some major production challenges (significant impact in scrap reduction). In 2018, 00532462 took over the regional marketing position in CCE and was effective in working with the uncertainty in a drastically changing market environment. With his team, he is prioritizing both commercial and technical resources to align with strategic objectives and ensure sustainable business development. In January he took a new role in Marketing (Global Specialties Segment Manager) after a reorganization in the group, He is responsible for the front end (samples), end of life cycle (service parts) as well as managing regional customers’ platforms. Based on his broad experience in finance, production and marketing skills, 00532462 is capable in dealing with a broad variety of tasks and challenges. His analytical and strategic strength allows him to work efficiently on the relevant topics. He is data driven and with his strong analytical skills he is able to provide management with the necessary information to make the right decisions. Current development focus is on defining his leadership style and demonstrating leadership impact.;31.03.2020;G-CCE;CC
00693899;5;D;N-APN;F;00693899 has a strong work ethic and sets high standards of excellence for herself and others, encouraging and motivating the team to make an impact. She balances the needs of the function and the business while operating with strong results orientation. 00693899 has assumed her first people management role, and has continued to demonstrate sustained potential and performance, this time as a leader. She has taken on a large team and has improved her coaching and development skills, thus enabling them to perform at their peak. 00693899 enjoys roles that keep her close to the business as she loves to understand and leverage what drives her clients. She should continue to develop the balance of collaboration and influencing, while looking for solutions that are sustainable on the long run. She takes feedback well and is working on this area of opportunity. In her HR Business Partner role in AP she demonstrates a strong customer focus and solution orientation and is eager to reach out tp colleagues to further learn and grow.;01.07.2020;AP/H;APN
00506688;5;D;A-CCA;M;00506688 has a well-balanced personality which gives him the flexibility to have good relationships with his employees and customers. He is an action-oriented person who wants to get things done. He pushes himself and his team to achieve committed targets and demonstrates drive and commitment to meet his goals. 00506688 has to gear his organization towards the challenge in delivering top line EBIT growth for BCIL over the next 2 years with the BS6 emission regulation emission forward. What 00506688 could do more is to smartly build on individuals’ interests and strengths by assigning challenging tasks and responsibilities.;17.06.2019;G-CCE;CC
00245892;5;R;EVT;F;00350778 started her new role at EVT in May 2019 in a situation where the EV restructuring and HPO embedding was started but not yet fully implemented. She immediately addressed the open issues, analyzed the current setup and identified the areas, where further action is needed. 00350778 connected with all relevant stakeholders quickly and took their position into account. She clearly provides guidance to the team accordingly. One of the hotspots 00350778 identified was the overall quality setup of EV. 00350778 collected relevant input and benchmark examples from inside and outside EV. A corresponding proposal to implement an effective organizational setup and adjust roles and responsibilities has been aligned with the executive management team before implementation. Ensuring compliance, while keeping entrepreneurial drive and focus on customer requirements, is a core activity of the team. With marketing of regulatory services as a new focus of the team 00350778 is intensifying the collaboration of the team with business functions. She is now developing a marketing approach to use BASF's regulatory expertise as differentiator in the market. As a basis 00350778 brings extensive knowledge from her previous positions in FE and EM. This allows her to guide the team based on solid own competencies and develop talent in line with business needs. As a next step 00350778 would like to combine her knowledge in product stewardship & regulatory topics and her background in advocacy with business. Especially in an environment, where the outstanding BASF expertise in these topics can be used as a differentiator in the market.;06.01.2021;EVT;EV
00398483;5;D;ASK/C;F;00350778 has been exposed to several areas like research, innovation, strategy and marketing over the last 10 years, bringing excellent results to BASF in all of them. In ED she coached interns and peers effectively and managed multi-disciplinary projects such as re-structuring of P&D pipeline for dispersions and the additives and resins search initiative. After 7 years in ED 00350778 moved to EM to lead the South American Marketing team in Personal Care, a rather different business with a diverse team that was undergoing many changes. During the 12 months on EM 00350778 also had the responsibility to develop 6 direct reports, being very effective, giving them autonomy and at the same time being available when needed. Her solid marketing background developed while working at ED (Furniture and Flooring poly-isocyanates and dispersions business) was complemented in Brazil with a broader scope, a larger team, and a different business environment. Besides leading the Operational Marketing and working close to the commercial team, 00350778 also managed a strategic sales channel project. In 2020 00350778 took up an again completely different challenge, becoming the country development head in South Korea. As the role and the team are currently being established, she did not only have to cope with a new cultural and language context, but also with significant change-management activities. From day one on she started to newly shape this role, being active in several topics at once (Sustainability Roadmap Korea, Korean Transplants, Customer Network & digitalization). Her broad experience and network paired with a strategic, but still pragmatic approached pave d the way for an excellent start.;04.12.2020;AS;
00035034;5;D;ESH/V;F;00350778 is a highly capable and committed HR leader with the right balance of the ‘what’ and the ‘how’ to lead the HR function into the future. 00350778 is excellent in concept development and pragmatic when it comes to speedy and robust implementation. She has a wide mix of knowledge on various HR and Talent topics and she brings passion, authenticity, innovation and drive to everything she does. The net impact is that 00350778 is able to achieve a lot while bringing along various stakeholders (leaders, colleagues and team members). In 2015, she led the Learning Strategy development for GPT/D and was successful in developing a strategy concept, aligning stakeholders and customers, and overseeing the first stages of implementation. She showed strong agility and change orientation as the project was quite complex. Since July 2019 00350778 is responsible for the Learning Campus which includes all training activities of BASF SE. Already after a few weeks sehr set the right priorities for the team and initiated important projects.;01.09.2019;FHG;FH
00032862;5;D;G-CCP/K;F;00350778 started well in her new assignment at CCP/K and developed quickly the right approach to steer the business in a difficult supply and demand situation 2019. She is on a steep learning curve with respect to the complexity of her specific business environment and the global reach of her organization and stakeholder. She is very open to feedback and very reflective on her own performance. 00350778 smartly challenges the status quo and is proposing new ideas for growth initiatives. Given the 2019/2020 challenges she has currently a strong operational focus. Going forward 00350778 will have to spend more time on strategic topics.;24.04.2020;G-CCP;CC
00400326;5;D;E-PME/P;F;00350778 is a highly-engaged manager with the ability to lead diverse and complex teams to successful implementation of common goals. Early in 2018 she has taken over her first managerial role as Head of Smart Account Management in Lemförde, leading a team of two direct reports as well as 17 smart account managers with dual reporting lines in various local BASF companies throughout Europe. She has managed to immediately position herself as a trusted leader in the role, both toward her team members as well as toward the four business managements at E-PME, from whom she needs to take over small and less developing customers. In this context, 00350778 displayed her outstanding ability to reach goals by including others and addressing necessary conflicts at the same time. 00350778 is a quick learner and self-motivated. She does not shy away from any new topic or task and tackles them in a very disciplined and structured way. 00350778 chooses a direct and engaging style of interaction. This style enables 00350778 to effectively drive and implement change while connecting with colleagues at the same time. For example, she ran and promoted an analysis that lead to expanding the scope of customers that will be transferred from the businesses to smart account management – usually highly contested, but it gained support from all affected business managements. Furthermore, during a year with significant price pressure in PU Systems, she has managed to expand the average sales price in her segment from 3.32 €/kg (Q4 2017) to 3.40 €/kg (Q4 2018) while the overall average sales price in PU-Systems for E-PME was reduced from 2.42 €/kg to 2.28 €/kg in the same period. In the development discussion with her team members, she became a trusted partner. For instance, she created opportunities for further development of two of her team members towards product management and new business development respectively, that previously had not been addressed and pursued.;21.12.2018;E-PME;PM
00350778;5;E;APR/D;F;00350778 has deep experience and expertise in crop protection product development. Her expert input is recognized and appreciated by stakeholders ranging from chemistry, biology, formulation development, regulatory to delivery optimization and application technology. 00350778 is one of the few experts in AP with first-hand experience from inside and outside of BASF who master all relevant steps of product development with a proven track record for successful product development covering not only crop protection products, but also adjuvants for formulations. 00350778 is leading AP's research activities in formulation development and, together with her peers, manages the interdisciplinary collaboration with colleagues in other R&D platforms (e.g. RA) which has allowed her to develop a strong network with R&D colleagues outside agricultural solutions. 00350778 successfully collaborates with internal (EM) and external (e. g. Clariant, Solvay) suppliers to improve and diversify AP's adjuvant toolbox for formulation development. In close collaboration with 00845993 Deere and BASF engineers, she designed and implemented BASF's first large scale Application Testing Center for Crop Protection in Limburgerhof (inauguration 2016) and was in integral part of developing a state of the art climate controlled spray chamber in RTP (inauguration 2019). In the past years, she took responsibility for several additional projects (e. g. Dicamba formulation development and the R&D workstream of the new AP Way Forward Strategy). During these projects, she demonstrated her capability to pick up new tasks and challenges quickly. 00350778 is always eager to learn and to develop her leadership and technical skills. She could focus more on her ability to adjust her message to different stakeholders and on being assertive in areas outside her comfort zone.;27.11.2019;APR/RBA;AP
00639649;5;D;E-CPB/M;M;00639649 is passionate in his role. Being self-driven he is constantly looking for improvement potential in a very collaborative and constructive manner. Considering his early career, he is confident and has impressive negotiation skills and is able make use of different tactics. He is not afraid of making decisions even in times of uncertainty. With his background in trading he gained a lot of experience in contracting excellence, which he applies in his day to day job. Strong relationship building and networking skills, which is confirmed by external customers. Strategic thinking needs to be more developed but not seen as an issue considering him being so early in his career.;20.02.2020;E-CPB;CP
00491096;5;R;COM;F;"00134818 is a well-rounded communications expert with a strong hands-on mentality. She is a very flexible but also structured person who can take “the heat” when handling challenging situations (eg 2 jobs at a time). Due to her various assignments across businesses (KT/PM; CA/CM) - including an international assignment to Singapore – and functions (COM, FE) she combines a strong business sense with a sound understanding of corporate alignment needs and cooperation. Her proactive support of the transition of FE in H1/2019 was well appreciated by the FE management team. Apart from the hiqh quality of 00134818’s work it is her outstanding pragmatism and creativity that is remarkable. Within only a few months, she initiated and introduced various new concepts and formats to strategically support EHS objectives and activities (Com concept for FE/EHS, FE employee event as well as EHS Speed Sharing, Global Safety Days). Her impact to COM was noticeable shortly after her transition already by a number of initiatives (ComAcademy, benchmark initiative, review service provider).";01.04.2020;COM;
00765728;5;D;ESA/V;F;00134818 has very strong analytical skills, is permanent looking for optimisation potential and has always a strong customer focus. She is always striving for solving problems, does not go around conflicts, addresses the issues in a very open and correct way without provoking. Striving for consensus. Gives comfort to her surrounding. Has the competency to buy in for new ideas. She is developing her network with speed and is being trusted in teams she is participating. She can handle high workload, drives topics with speed, finds energy in widing her horizon as well as in depth study, is self reflecting regulary, often asks for feedback.;27.01.2020;ESA;ES
00134818;5;D;APT;F;"00134818 00134818 has an integrating leadership style and a proactive, clear communication. As an example, after taking over her new position with responsibility for approx. 60 people, she analyzed together with her team the pain point of the team collaboration and she has consequently implemented the improvement proposals. 00134818 has a strong sense for people and change management. Already at the beginning of the Corona crisis, she has organized weekly jour fixes with her team to exchange new developments and to assure that the analytical service is coming as needed, despite many people working from the home office. She acts with strong empathy, honesty and confidence. She is proactively asking for feedback and taking it well and eagerly. She is a good networker and keen on integrating diversity in her team. She demonstrates strong result orientation and pronounced ""can do"" attitude. She engages well and fast into new topics and is constantly looking for ways to improve processes in her team and across teams. By thinking beyond borders and pushing for the unknown she creates improvement opportunities for herself, her team and the company. 00134818 is highly interested to develop further and clearly articulates her leadership ambitions to take on new career responsibilities in the company.";25.08.2020;APT;AP
00785066;5;D;APM/E;M;00785066 joined BASF in 2016 and has received an outstanding performance rating consistently. Competencies like high result orientation and customer focus have been pivotal in accelerating his development and career in AP. 00785066's commitment and leadership to the implementation of APA Channel Performance Management initiative was recognized with Global Agrobusiness Award in 2019. He constantly looks for avenues to contribute outside his regular scope of work. He is curious, a passionate team-player and with aspiration to exceed management expectations. Few additional examples of projects he contributed are the review of AP Korea business model post integration and the development of AP DCX platform. 00785066 seamlessly transitioned from an individual contributor to a leadership role in 2018. Since then, he displayed a high level of maturity, confidence, openness and collaboration - also reflected in a positive attitude of his team. He was delegated to Germany since February 2020, as a member of AP global commercial excellence team, he is demonstrating a great capacity and velocity to learn, adapt and connect with people and teams. He is using his customer and business drive combined with innovative mindset to co-create and implement high impact topics to accelerate the transformation of business excellence such as Market Archetypes and data driven business transformation through the Growth Analytics project. These complex initiatives provide a great platform to keep developing and sharpening his transformation leadership style.;13.10.2020;APM/E;AP
00577487;5;D;ED/C;F;00608900 00577487 joins the ED global team as head of strategy in Q4 2018. In view of her maternity leave in Q1 2019, she could only work on her target in 2H 2019 after her return. Although it is her first leadership experience, 00608900 has developed a well-structured deputy system during her absence, with regular touch points with her deputy and different stakeholders, that allowed her to keep up the pace and development at work, while balancing need from her personal life and developing the management skills and potential of her deputy team member. Moreover, once 00608900 started her role in 2018, she opened up lots of opportunities for the team to work on new initiatives and ideas for the division, with target to increase the value contribution from strategy team to the division She is eager to do more and is a self-driver and will actively look for resources to support her work independently. As she has only short time in this role with strong passion at work, she will need to work closely with others to understand different limitation and develop more innovation and sustainable solution to support the result.;24.07.2019;ED/C;ED
00564759;5;D;GBP/T;F;In her current role within NCU/R, 00608900 has taken on Supervisor responsibilities of both professionals and contract employees both in a face to face and virtual capacity. 00608900 is an energetic team leader and is working closely with her new team to expand their capabilities and develop them to their potential. 00608900 quickly came in, assessed the capability of individual team members and then set new, higher expectations of team members to fulfil. 00608900 has a vision for her team and is even working on engaging across the Departments to bring others on board. 00608900 quickly established herself within NCU/R as capable of managing an operations team engaged in time sensitive work and demonstrated strong focus on the needs of the RBU’s she is responsible for supporting.;05.06.2018;NCU;NC
00608900;5;D;G-ENH;F;00608900 is eager to take new challenges and actively engages herself to improve current results. She takes ownership to find solutions, is proactive and remains calm in challenging situations. 00608900 is motivated, identifies herself with the company and is flexible to adapt to a changing environment. She excellently uses her technical background to bind customers and extracts relevant information to develop the product portfolio to meet market needs. 00608900 has strongly developed from her food technical application manager position into leading the product management and application team for Food Performance Ingredients. And she strives to increase the team performance and skills.;01.06.2019;G-ENH;EN
00120000;5;D;EMT;F;00608900 is a highly motivated and energetic individual, setting herself ambitious goals and driving hard for achieving improvements. After taking over the Global Sourcing function at EM, she quickly created impact by driving, together with colleagues from Key Account Management, Development and Technology, a time-critical tolling project for Unilever. Her contributions were crucial for making possible the timely and competitive supply of a newly launched product to one of EM’s most important Key Accounts. 00608900 demonstrated her ability to drive the embedding of purchasing resources into EM, e.g. by taking over three Oleochemicals categories as well as Contract Manufacturing from FP. She aligned with stakeholders of EM, FP as well as the HPO project team to trigger clear-cut decisions in preparation for the embedding. In a challenging situation regarding resources for her team, she managed to keep motivation of herself and her team up and to drive for adequate staffing. 00608900 occasionally needs to focus in her communications style and discussions on the most important aspects in order to bring her message over.;28.01.2019;EMT;EM
00382569;5;D;A-CP/A;F;After 3 years in the position of process manager of the EA Plant in Ludwigshafen, 00688271 joined the process management team in the Acrylics Complex in Antwerp in September 2018. 00688271’s language learning skills are proven to be excellent, which supported her in getting well integrated into the team and being quickly effective in her job, especially when it comes to communicating with shift teams. 00688271 demonstrates a high level of engagement and drive and is a strong process manager, digging into the details, developing a concept for plant improvements and from there on concentrating on the implementation. While developing her knowledge of the ASF7-plant, she focuses on areas related to process optimization, investment projects and plant changes, such as APC (advanced process control, with a payback time of < 1 year in ASF7), Safety Project 5, heat integration and stabilizer-system improvements. Working in an environment outside Ludwigshafen, enables 00688271 to build on her strengths, while working on her development needs, namely to further grow the ability to adjust her communication style and her way of working depending on the situation (i.e. showing more agility).;27.11.2019;E-CPI;CP
00628365;5;D;ESM;F;"00608900 started in BWB-Communication and was able to handle project workload and day-to-day media tasks in very active and successful way. She moved to COM/L been responsible for the organization of external communication to the authorities (MRN, Ludwigshafen, Mannheim). She streamlined processes and started to build up new communication lines. In late 2018 00608900 became staff of ESM/European Site Management. 00608900 is a highly self motivated person with an outstanding commitment to the company and her job. She takes over responsibilities and extra tasks. Her personal drive becomes expecially visible once she is managing projects (e.g. simulation of ""Hochstraßenabriss Ludwigshafen""). Her special strength is to quickly react on occuring topics and to finish tasks directly in time. 00608900 herself is always open for constructive feedback. Personally she is highly accepted within ES and the other members of the staff community.";22.04.2020;ESM;ES
00840561;5;D;CIT;F;"00840561 took part in the 3 year trainee program @ EST (Technical Site Serivces Ludwigshafen). During the first 12 month slot in Site Engineering she was involved in the investment project """"new Polymer for AP iPoly 50"""" for the BU ED. The second 12 month term consisted of Construction and TAR-activities for the BUs CMI and CIA. 00840561 was responsible for several construction activities in brownfield-projects. During that period she contributed also to the successful completion of Turnarounds (TAR). Since 00755913 2020 00840561 is on a 12 month delegation at the joint venture verbund site in Kuantan, Malaysia. There 00840561 took over Process- and Asset Management tasks in the HRPIB plant and in the new Citral-/Menthol-complex. She is responsible for the introduction of several digitalization topics (usage of tablets for plant- walkdowns, electronic work permit system and so on). Besides that, 00840561 identifies and works out counter measures for bad actors in the plant and is introducing several process improvements. Her tasks are a good mix of strategic and operational topics. With her dynamic working style and her high commitment and resilience against setbacks 00840561 is able to deliver results in a tough time frame. 00840561`s open, curious and empathetic communication style opens her many doors and she increases her network (inside and outside BASF) continuously. The current challenges and restrictions caused by the world-wide Corona pandemic (Malaysia had a very tough lockdown in the first half of 2020) counters 00840561 with optimism and resilience. By doing so she makes the utmost out of her international assignment in the current circumstances. After completion of the trainee program (end of 2020) 00840561 will move to CIT and take over the Process Operations Manager role in the SCF plant. There she has to implement a variety of project activities to close open action items from the clean sheet reviews of the plant. 00840561 is also a very active member in the core team of WIT (Women in Tech) network.";24.04.2020;EST;ES
00635963;5;D;ENT;F;00608900 joined BASF in 2012 as a pharmacist and had several roles as laboratory manager with corporate analytics as well a with the division Nutrition and Health. 00608900 was delegated to Sandefjord in 2018 as head of quality management for the Omega-3 Verbund in Sandefjord and Callanish. Aside from the operational part of her role in Sandefjord, 00633188 has been leading a change and transformation project to restructure the large QA-QC department in Sandefjord in an effort to streamline the organization and reduce costs. In her operational role as well as the restructuring project 00608900 has proven strong leadership and management skills, combined with a strong drive to develop and implement sustainable solutions. The organizational changes in Sandefjord have been successfully implemented. In overcoming resistance to change, 00608900 always works towards solutions that are acceptable for all stakeholders while not compromising on the bigger objective. As part of this project 00608900 also showed her entrepreneurial drive to question the scope of her team to assure a focus on the core quality tasks and allocate other tasks to the right departments with the Omega-3 organization. People leadership: 00608900 is able to adjust her communication style to different situation in an effort to connect with her team members and/or stakeholders. 00608900 is a strong coach for her team members and brings motivation to her team through her positive attitude. On her next assignment, 00608900 should be challenged to lead an even larger organization to further work on her organizational impact at a larger scale.;24.08.2020;G-ENP;EN
00656109;5;D;GBA/C;F;00608900 00357578 joined BASF in 2012 as an experienced communicator and has been demonstrating consistently strengthened professional competence, strong commitment to high quality deliverables and collaborative leadership style. Having worked in three different positions in last seven years, 00608900 has shown and developed her strategic thinking in conceptualizing complex projects involving multiple stakeholders. In her previous position as Regional Research Communications Manager and her current position as Corporate Communications Senior Manager, she has been able to provide strategic consul to the senior management (up to L2) for the transition of Research and Development in Asia and various topics in Greater China respectively. Even though 00608900 has only become a people manager formally since Dec 2018, she already demonstrated outstanding strengthen in collaborating for achievement with internal stakeholders from various divisions. She took her current position at a difficult time that more than half of the team members were with BASF lass than one year. She has been able to provide clear guidance to help the new members grow and quickly bring up the professional standard of the team. 00608900's leadership potential also shows in her ability to communicate effectively at all levels and she is willing to share her opinions irrespective of hierarchy. 00608900 has very strong language skills and has demonstrated strong competencies in the communication profession (e.g. planning, writing, media relations and issues communications...) She is a fast learner and always shows strong dedication that she has been consistently delivering high quality results in different positions. She has also demonstrated strong project management skills in the annual innovent organization.;17.09.2019;AO/P;AC
00516767;5;D;E-EMD;F;00516767 has an already far developed personality. She is an entrepreneur individual with distinct interpersonal and leadership skills. Due to her exceptional collaboration skills, she can successfully work in very challenging teams and projects. She is also a curious and a quick learner and likes to be involved in various topics. Her pragmatic approach and action oriented nature allows her to fix even challenging problems. 00840561 is very target oriented and she always does her utmost to reach the timelines, deadlines and goals. She has obvious capabilities to multitask. There is no doubt that she will expand her skill set as she will have opportunities to be involved in long term, strategic tasks. Her outstanding willingness to further develop her skill sets, her hardworking nature and drive will help her developing as a leader very quickly.;16.11.2017;E-FPE;FP
00819811;5;D;EU/D;F;00731154 took over the role as HR Business Partner and HR Specialist in June 2017 in BASF Personal Care and Nutrition in Monheim. She immediately showed strong and convincing conceptual skills. After six successful months in this role, she was promoted to Global HR Implementation Manager for the EMB strategy in addition to her current tasks. In May 2018 then gave up her operational tasks. 00731154 is a highly motivated person and her excellent conceptual working style enables her to quickly adjust to new challenges while keeping the big picture. She loves to challenge the status quo and always strives for better solutions and new ideas, e.g. implementation of European HR Business Partner community for E-EMC. The Personal Care Management Team particularly appreciates this characteristic. 00731154 has introduced a lot of innovation and positive development in the leadership culture in Monheim. She, for example, established a succession day with the Personal Care Management team to proactively steer the approach towards talent management. An additional idea of hers was to further strengthen the interactive exchange of leaders. She therefore conducted a forum for leaders very successfully. These two instruments will be continued in the long-term which demonstrates her talent to effectively put plans into actions which becomes sustainable. 00731154 took over a small team in her current role and has gained her first leadership experience. She has taken this responsibility very seriously. She demonstrates sensitivity and flexibility in her relationships with others in general and is an effective networker, e.g. she maintains relationships to different BASF sites (Antwerp, Ludwigshafen). However, she sometimes tries too hard to get results and could empower her colleagues to unburden her.;30.07.2018;EM;
